case_date,case_weekday,case_week_ending,deprivation_lmm,cases,cases_per_100k,cases_mean7,cases_per_100k_mean7
2024-05-15,Wednesday,2024-05-19,Most deprived,259,16.5087,160.8571,10.253
2024-05-14,Tuesday,2024-05-19,Least deprived,265,17.5047,175.2857,11.5786
2024-05-14,Tuesday,2024-05-19,Mid-range deprivation,316,15.7591,209.4286,10.4443
2024-05-14,Tuesday,2024-05-19,Most deprived,209,13.3217,145,9.2423
2024-05-13,Monday,2024-05-19,Least deprived,259,17.1084,160.8571,10.6255
2024-05-13,Monday,2024-05-19,Mid-range deprivation,319,15.9087,195.4286,9.7461
2024-05-13,Monday,2024-05-19,Most deprived,238,15.1701,135.4286,8.6322
2024-05-12,Sunday,2024-05-12,Least deprived,155,10.2386,152.4286,10.0687
2024-05-12,Sunday,2024-05-12,Mid-range deprivation,165,8.2286,192,9.5751
2024-05-12,Sunday,2024-05-12,Most deprived,117,7.4576,125.4286,7.9948
2024-05-11,Saturday,2024-05-12,Least deprived,112,7.3982,145.4286,9.6063
2024-05-11,Saturday,2024-05-12,Mid-range deprivation,136,6.7824,186.4286,9.2973
2024-05-11,Saturday,2024-05-12,Most deprived,90,5.7366,120.1429,7.6579
2024-05-10,Friday,2024-05-12,Least deprived,135,8.9175,141.2857,9.3327
2024-05-10,Friday,2024-05-12,Mid-range deprivation,177,8.8271,181.1429,9.0337
2024-05-10,Friday,2024-05-12,Most deprived,99,6.3103,115.4286,7.3574
2024-05-09,Thursday,2024-05-12,Least deprived,142,9.3799,138.7143,9.1628
2024-05-09,Thursday,2024-05-12,Mid-range deprivation,172,8.5777,178.5714,8.9055
2024-05-09,Thursday,2024-05-12,Most deprived,114,7.2664,118.2857,7.5395
2024-05-08,Wednesday,2024-05-12,Least deprived,159,10.5028,135.4286,8.9458
2024-05-08,Wednesday,2024-05-12,Mid-range deprivation,181,9.0266,177,8.8271
2024-05-08,Wednesday,2024-05-12,Most deprived,148,9.4335,119.5714,7.6215
2024-05-07,Tuesday,2024-05-12,Least deprived,164,10.8331,133.2857,8.8042
2024-05-07,Tuesday,2024-05-12,Mid-range deprivation,218,10.8718,179,8.9268
2024-05-07,Tuesday,2024-05-12,Most deprived,142,9.0511,118.8571,7.576
2024-05-06,Monday,2024-05-12,Least deprived,200,13.2111,130.1429,8.5966
2024-05-06,Monday,2024-05-12,Mid-range deprivation,295,14.7118,178.8571,8.9197
2024-05-06,Monday,2024-05-12,Most deprived,168,10.7083,117.2857,7.4758
2024-05-05,Sunday,2024-05-05,Least deprived,106,7.0019,122.2857,8.0776
2024-05-05,Sunday,2024-05-05,Mid-range deprivation,126,6.2837,166,8.2785
2024-05-05,Sunday,2024-05-05,Most deprived,80,5.0992,114.4286,7.2937
2024-05-04,Saturday,2024-05-05,Least deprived,83,5.4826,121,7.9927
2024-05-04,Saturday,2024-05-05,Mid-range deprivation,99,4.9372,165.1429,8.2358
2024-05-04,Saturday,2024-05-05,Most deprived,57,3.6332,115,7.3301
2024-05-03,Friday,2024-05-05,Least deprived,117,7.7285,120.5714,7.9644
2024-05-03,Friday,2024-05-05,Mid-range deprivation,159,7.9294,162.5714,8.1075
2024-05-03,Friday,2024-05-05,Most deprived,119,7.5851,116.1429,7.4029
2024-05-02,Thursday,2024-05-05,Least deprived,119,7.8606,119,7.8606
2024-05-02,Thursday,2024-05-05,Mid-range deprivation,161,8.0292,161.4286,8.0505
2024-05-02,Thursday,2024-05-05,Most deprived,123,7.84,109.4286,6.975
2024-05-01,Wednesday,2024-05-05,Least deprived,144,9.512,113.4286,7.4926
2024-05-01,Wednesday,2024-05-05,Mid-range deprivation,195,9.7248,151.8571,7.5732
2024-05-01,Wednesday,2024-05-05,Most deprived,143,9.1148,99.4286,6.3376
2024-04-30,Tuesday,2024-05-05,Least deprived,142,9.3799,106.1429,7.0113
2024-04-30,Tuesday,2024-05-05,Mid-range deprivation,217,10.8219,146.5714,7.3096
2024-04-30,Tuesday,2024-05-05,Most deprived,131,8.3499,95.2857,6.0735
2024-04-29,Monday,2024-05-05,Least deprived,145,9.578,102.5714,6.7754
2024-04-29,Monday,2024-05-05,Mid-range deprivation,205,10.2235,139,6.932
2024-04-29,Monday,2024-05-05,Most deprived,148,9.4335,92.5714,5.9005
2024-04-28,Sunday,2024-04-28,Least deprived,97,6.4074,99.5714,6.5772
2024-04-28,Sunday,2024-04-28,Mid-range deprivation,120,5.9845,135.5714,6.761
2024-04-28,Sunday,2024-04-28,Most deprived,84,5.3542,91.4286,5.8277
2024-04-27,Saturday,2024-04-28,Least deprived,80,5.2844,95.2857,6.2941
2024-04-27,Saturday,2024-04-28,Mid-range deprivation,81,4.0395,133.1429,6.6399
2024-04-27,Saturday,2024-04-28,Most deprived,65,4.1431,87.8571,5.6
2024-04-26,Friday,2024-04-28,Least deprived,106,7.0019,94.8571,6.2658
2024-04-26,Friday,2024-04-28,Mid-range deprivation,151,7.5305,134,6.6827
2024-04-26,Friday,2024-04-28,Most deprived,72,4.5893,87.2857,5.5636
2024-04-25,Thursday,2024-04-28,Least deprived,80,5.2844,96.2857,6.3602
2024-04-25,Thursday,2024-04-28,Mid-range deprivation,94,4.6878,135.5714,6.761
2024-04-25,Thursday,2024-04-28,Most deprived,53,3.3782,91.7143,5.8459
2024-04-24,Wednesday,2024-04-28,Least deprived,93,6.1432,102.7143,6.7848
2024-04-24,Wednesday,2024-04-28,Mid-range deprivation,158,7.8795,140.8571,7.0246
2024-04-24,Wednesday,2024-04-28,Most deprived,114,7.2664,98.1429,6.2556
2024-04-23,Tuesday,2024-04-28,Least deprived,117,7.7285,102.7143,6.7848
2024-04-23,Tuesday,2024-04-28,Mid-range deprivation,164,8.1788,137,6.8323
2024-04-23,Tuesday,2024-04-28,Most deprived,112,7.1389,99,6.3103
2024-04-22,Monday,2024-04-28,Least deprived,124,8.1909,103,6.8037
2024-04-22,Monday,2024-04-28,Mid-range deprivation,181,9.0266,135.4286,6.7539
2024-04-22,Monday,2024-04-28,Most deprived,140,8.9236,97,6.1828
2024-04-21,Sunday,2024-04-21,Least deprived,67,4.4257,105.1429,6.9453
2024-04-21,Sunday,2024-04-21,Mid-range deprivation,103,5.1367,134.8571,6.7254
2024-04-21,Sunday,2024-04-21,Most deprived,59,3.7607,94.2857,6.0098
2024-04-20,Saturday,2024-04-21,Least deprived,77,5.0863,108.1429,7.1434
2024-04-20,Saturday,2024-04-21,Mid-range deprivation,87,4.3387,134.7143,6.7183
2024-04-20,Saturday,2024-04-21,Most deprived,61,3.8881,93.8571,5.9825
2024-04-19,Friday,2024-04-21,Least deprived,116,7.6624,107.7143,7.1151
2024-04-19,Friday,2024-04-21,Mid-range deprivation,162,8.079,134.4286,6.704
2024-04-19,Friday,2024-04-21,Most deprived,103,6.5652,93.1429,5.9369
2024-04-18,Thursday,2024-04-21,Least deprived,125,8.2569,104.4286,6.8981
2024-04-18,Thursday,2024-04-21,Mid-range deprivation,131,6.533,131.1429,6.5402
2024-04-18,Thursday,2024-04-21,Most deprived,98,6.2465,92,5.8641
2024-04-17,Wednesday,2024-04-21,Least deprived,93,6.1432,103.8571,6.8603
2024-04-17,Wednesday,2024-04-21,Mid-range deprivation,131,6.533,133.4286,6.6542
2024-04-17,Wednesday,2024-04-21,Most deprived,120,7.6488,94.5714,6.028
2024-04-16,Tuesday,2024-04-21,Least deprived,119,7.8606,111,7.3322
2024-04-16,Tuesday,2024-04-21,Mid-range deprivation,153,7.6302,139.5714,6.9605
2024-04-16,Tuesday,2024-04-21,Most deprived,98,6.2465,93.5714,5.9642
2024-04-15,Monday,2024-04-21,Least deprived,139,9.1817,112,7.3982
2024-04-15,Monday,2024-04-21,Mid-range deprivation,177,8.8271,144.5714,7.2099
2024-04-15,Monday,2024-04-21,Most deprived,121,7.7125,92.7143,5.9096
2024-04-14,Sunday,2024-04-14,Least deprived,88,5.8129,116,7.6624
2024-04-14,Sunday,2024-04-14,Mid-range deprivation,102,5.0868,153.5714,7.6587
2024-04-14,Sunday,2024-04-14,Most deprived,56,3.5694,99.1429,6.3194
2024-04-13,Saturday,2024-04-14,Least deprived,74,4.8881,120,7.9267
2024-04-13,Saturday,2024-04-14,Mid-range deprivation,85,4.239,158.8571,7.9223
2024-04-13,Saturday,2024-04-14,Most deprived,56,3.5694,105,6.6927
2024-04-12,Friday,2024-04-14,Least deprived,93,6.1432,123.2857,8.1437
2024-04-12,Friday,2024-04-14,Mid-range deprivation,139,6.932,162.2857,8.0933
2024-04-12,Friday,2024-04-14,Most deprived,95,6.0553,104.2857,6.6472
2024-04-11,Thursday,2024-04-14,Least deprived,121,7.9927,129.4286,8.5495
2024-04-11,Thursday,2024-04-14,Mid-range deprivation,147,7.331,170,8.478
2024-04-11,Thursday,2024-04-14,Most deprived,116,7.3938,108.1429,6.893
2024-04-10,Wednesday,2024-04-14,Least deprived,143,9.4459,135,8.9175
2024-04-10,Wednesday,2024-04-14,Mid-range deprivation,174,8.6775,176.5714,8.8057
2024-04-10,Wednesday,2024-04-14,Most deprived,113,7.2026,112.8571,7.1935
2024-04-09,Tuesday,2024-04-14,Least deprived,126,8.323,143.7143,9.4931
2024-04-09,Tuesday,2024-04-14,Mid-range deprivation,188,9.3757,190.2857,9.4897
2024-04-09,Tuesday,2024-04-14,Most deprived,92,5.8641,122,7.7763
2024-04-08,Monday,2024-04-14,Least deprived,167,11.0313,157.1429,10.3801
2024-04-08,Monday,2024-04-14,Mid-range deprivation,240,11.9689,206.2857,10.2876
2024-04-08,Monday,2024-04-14,Most deprived,166,10.5808,136.5714,8.7051
2024-04-07,Sunday,2024-04-07,Least deprived,116,7.6624,152.4286,10.0687
2024-04-07,Sunday,2024-04-07,Mid-range deprivation,139,6.932,196.2857,9.7889
2024-04-07,Sunday,2024-04-07,Most deprived,97,6.1828,127,8.095
2024-04-06,Saturday,2024-04-07,Least deprived,97,6.4074,148.1429,9.7856
2024-04-06,Saturday,2024-04-07,Mid-range deprivation,109,5.4359,193,9.625
2024-04-06,Saturday,2024-04-07,Most deprived,51,3.2507,125.7143,8.013
2024-04-05,Friday,2024-04-07,Least deprived,136,8.9835,148.8571,9.8328
2024-04-05,Friday,2024-04-07,Mid-range deprivation,193,9.625,195.1429,9.7319
2024-04-05,Friday,2024-04-07,Most deprived,122,7.7763,130.8571,8.3408
2024-04-04,Thursday,2024-04-07,Least deprived,160,10.5689,144.1429,9.5214
2024-04-04,Thursday,2024-04-07,Mid-range deprivation,193,9.625,180.7143,9.0123
2024-04-04,Thursday,2024-04-07,Most deprived,149,9.4973,121.5714,7.749
2024-04-03,Wednesday,2024-04-07,Least deprived,204,13.4753,141.8571,9.3704
2024-04-03,Wednesday,2024-04-07,Mid-range deprivation,270,13.4651,180.4286,8.9981
2024-04-03,Wednesday,2024-04-07,Most deprived,177,11.282,120,7.6488
2024-04-02,Tuesday,2024-04-07,Least deprived,220,14.5322,146,9.6441
2024-04-02,Tuesday,2024-04-07,Mid-range deprivation,300,14.9612,176.1429,8.7843
2024-04-02,Tuesday,2024-04-07,Most deprived,194,12.3656,119.1429,7.5942
2024-04-01,Monday,2024-04-07,Least deprived,134,8.8514,143.5714,9.4837
2024-04-01,Monday,2024-04-07,Mid-range deprivation,170,8.478,166.2857,8.2928
2024-04-01,Monday,2024-04-07,Most deprived,99,6.3103,113.7143,7.2481
2024-03-31,Sunday,2024-03-31,Least deprived,86,5.6808,156.8571,10.3613
2024-03-31,Sunday,2024-03-31,Mid-range deprivation,116,5.785,187.7143,9.3614
2024-03-31,Sunday,2024-03-31,Most deprived,88,5.6091,132.7143,8.4592
2024-03-30,Saturday,2024-03-31,Least deprived,102,6.7377,168.4286,11.1256
