Statistical area 2 code (2018 areas),European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
160300,1440,558,627,1110,42,15,6,12,3219,0,3219
160400,1536,384,528,1593,171,33,12,21,3807,0,3807
160500,759,1062,1611,903,156,33,15,15,3747,0,3747
160600,1107,1389,1857,903,57,21,15,6,4350,0,4350
160700,1449,1143,1362,498,78,24,12,12,3555,0,3555
160800,729,891,1041,792,63,6,6,0,2907,0,2907
160900,1080,1341,1320,1068,54,27,15,12,3924,0,3924
161000,621,441,507,1185,132,21,6,15,2532,0,2532
161100,2433,612,465,810,72,54,36,15,3801,0,3801
161200,582,1029,1110,279,27,6,3,3,2448,0,2448
161300,678,1269,1812,564,33,21,15,6,3618,0,3618
161400,2478,405,114,204,12,42,39,6,2904,0,2904
161500,1500,480,363,321,36,27,15,12,2247,0,2247
161600,846,690,474,825,36,21,12,6,2475,0,2475
161700,27,15,0,3,0,0,0,0,36,0,36
161800,1893,324,117,396,51,39,21,15,2478,0,2478
161900,1092,633,510,432,33,15,12,6,2232,0,2232
162000,729,783,615,1152,42,3,3,3,2826,0,2826
162100,1254,564,537,2382,87,54,18,36,4347,0,4347
162200,642,153,105,393,9,12,9,0,1161,0,1161
162300,1164,258,72,105,18,15,12,3,1386,0,1386
162400,1887,237,90,186,15,24,21,6,2193,0,2193
162500,1473,180,84,600,21,30,24,9,2202,0,2202
162600,621,498,294,390,21,15,15,0,1458,0,1458
162700,1791,333,78,54,15,21,15,6,1992,0,1992
162800,1098,396,225,297,30,18,6,9,1788,0,1788
162900,1401,108,27,75,9,18,12,3,1515,0,1515
163000,2223,1341,702,744,63,45,24,21,4185,0,4185
163100,2292,531,303,567,60,45,18,27,3264,0,3264
163200,1800,858,465,555,57,21,12,9,3207,0,3207
163300,1329,777,480,513,45,21,9,9,2535,0,2535
163400,1080,150,93,981,48,30,24,9,2166,0,2166
163500,1530,2325,1314,426,42,51,42,12,4515,0,4515
163600,1158,1128,729,441,45,18,15,3,2862,0,2862
163700,1947,1260,696,909,54,33,18,15,4071,0,4071
163800,2124,246,75,114,21,42,24,18,2334,0,2334
163900,1173,801,894,801,90,60,9,45,3204,0,3204
164000,2037,702,276,324,54,27,21,6,2868,0,2868
