Area_Code,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
7022530,C,C,C,C,C,C,C,C,C,C,0
7022531,111,9,0,0,0,0,0,0,114,0,114
7022532,99,9,3,0,0,3,3,0,105,0,105
7022533,180,12,0,6,0,9,9,3,198,0,198
7022534,117,3,0,9,0,0,0,0,120,0,120
7022535,135,6,0,3,0,0,0,0,138,0,138
7022536,132,9,0,3,0,3,0,3,138,0,138
7022537,174,21,3,0,0,0,0,0,192,0,192
7022538,126,6,0,6,0,3,3,0,129,0,129
7022539,111,18,0,0,3,3,3,0,120,0,120
7022540,120,0,0,3,3,3,3,0,126,0,126
7022541,84,6,3,0,0,0,0,0,87,0,87
7022542,81,6,0,0,3,0,0,0,81,0,81
7022543,96,21,0,3,0,0,0,0,105,0,105
7022544,147,15,0,0,3,3,3,0,159,0,159
7022545,168,18,3,3,3,3,3,0,174,0,174
7022546,192,24,3,3,0,3,0,3,204,0,204
7022547,258,24,6,6,3,3,3,0,270,0,270
7022548,153,18,3,6,3,6,6,0,165,0,165
7022549,162,21,0,3,3,0,0,0,171,0,171
7022550,138,3,3,0,0,6,3,3,144,0,144
7022551,192,18,3,3,0,6,6,0,204,0,204
7022552,141,15,0,0,3,6,6,0,153,0,153
7022553,207,24,3,24,6,3,3,0,243,0,243
7022554,168,21,9,0,0,0,0,0,180,0,180
7022555,117,21,0,3,0,0,0,0,126,0,126
7022556,123,12,3,3,0,3,3,0,132,0,132
7022557,183,21,0,3,0,3,3,0,192,0,192
7022558,225,12,3,3,3,0,0,0,231,0,231
7022559,141,15,21,6,3,3,3,0,171,0,171
7022560,126,12,3,3,0,0,0,0,126,0,126
7022561,138,18,0,3,3,3,3,0,156,0,156
7022562,129,33,6,0,0,6,6,0,156,0,156
7022563,81,0,3,3,3,3,3,0,84,0,84
7022564,171,15,0,0,0,0,0,0,177,0,177
7022565,93,6,0,0,0,3,3,0,96,0,96
7022566,132,24,3,6,3,3,3,0,135,0,135
7022567,180,24,51,3,3,3,3,0,240,0,240
7022568,102,6,6,3,0,0,0,0,108,0,108
7022569,180,12,9,0,0,6,6,3,192,0,192
7022570,150,15,0,0,0,3,3,0,159,0,159
